Scenario,BDG,CoreInflation,ChangeDebt/GDP,SRi,Money0/GDP,R.GDPg,Curve,Equityg,R.FXxTWI
1,0.498572318,17.64048539,-20.69573608,2.774703557,24.85584293,-0.23391902,-0.916643061,-0.445854101,-8.637667072
1,-0.134366265,13.94596721,-13.20135045,0.959587777,11.89195902,11.3529778,-2.092504326,0.2,10.28741328
1,0.607570952,7.45757377,-8.450711218,0.95275316,12.4414778,2.606349865,-1.54021253,0.265397983,12.37859267
1,1.096739948,5.568786885,7.653352531,0.95275316,13.79261099,2.518849,-1.443660018,0.246138953,9.852989759
1,1.159186197,4.441442623,21.21043616,0.956921525,14.56255821,-0.171543197,-1.618368646,0.108652057,9.976874794
1,0.511744786,4.022032787,26.41685078,0.950875518,16.03766946,-7.166424569,-1.618368646,0.049751487,6.89131153
1,0.023623952,3.946491803,31.50410843,0.465279715,16.55779779,-4.319360863,-2.009034965,0.04689683,3.638916419
1,-0.158232101,3.988721311,28.56912345,0.458182228,17.10545379,-2.139793871,-1.522444582,0.011536351,-4.132804757
1,-0.033863685,7.556721311,15.94667726,0.448981782,15.73155335,0.356228816,-2.178544612,0.02499377,-1.339610175
1,-0.196610944,3.691540984,-4.368840454,0.448981782,14.22622374,2.53164557,-1.709379387,-0.11143846,2.066402379
1,-0.285583745,3.237508197,-8.842439739,0.437415506,13.72058367,3.428788822,-2.196598217,-0.289892162,-20.45920053
1,-0.001894754,7.206032787,-11.79231934,0.479061608,12.8779882,3.745936225,-1.914539192,0.181599764,-16.84175752
1,-0.459618899,10.31737705,-13.21847926,2.418778567,12.30383939,1.14719513,-1.53232836,-0.212963496,-15.11397423
1,-0.786725973,5.588721311,-14.60740263,2.426627111,11.93894236,3.50591409,-1.14229049,0.153818031,-10.18169805
1,0.47611383,5.207656905,-1.090679674,0.27005677,13.9468835,12.04992299,-1.682690216,0.1,-11.02129984
1,0.673449972,3.459786828,12.54497053,0.267211928,16.26671423,2.942375646,-1.669378344,0.141197206,-17.34462043
1,0.342083219,3.612444274,30.31313955,0.267211928,16.69959283,-6.888194256,-1.234436856,0.339663654,-27.50846532
1,0.030821057,13.74647617,15.97950359,0.29454273,12.98702225,-4.633505482,-1.419715491,-0.196029035,-17.8536319
1,0.160842717,10.65122148,2.87380553,0.69454781,12.52181615,-0.146325994,-1.170922695,0.020925169,-12.05461496
1,0.048143317,4.941563826,-8.895009771,0.970395865,11.32126997,-0.81861013,-0.984251969,-0.004941997,-1.309666849
1,-0.095490827,1.531381055,-8.304122363,0.999149087,11.2320372,0.608408082,-0.784965415,0,13.02676133
1,0.585671888,4.852161165,-6.546232323,1.243907085,10.22811312,10.90830842,-0.808935485,0.23060435,9.193883124
1,0.681587545,6.590610317,-6.830596889,1.581732051,10.13888035,4.708707076,-0.882846826,0.212201028,5.359912616
2,-0.866229177,7.245860095,4.051479191,7.950185644,5.372101424,10.2832618,-4.170928765,0.1,-9.829143315
2,0.615345785,6.099532486,4.490222297,10.08462252,5.372101424,5.339055794,-4.279166244,0.333333333,-8.10888711
2,1.560424028,9.408223009,12.57145245,15.11788366,5.589692424,5.47639485,0.429468676,0,-0.679263411
2,2.384300858,10.76864596,11.68560923,13.87871287,5.561515172,1.21888412,1.896056048,0.55,6.131144916
2,1.42958102,7.945646,11.09643991,12.69523515,5.323573935,-0.154506438,1.502299067,-0.150537634,9.779663731
2,-0.354316002,5.432778433,0.386929634,10.09436881,4.728600427,-0.978540773,0.703209991,0.493670886,7.405124099
2,-0.904745078,4.510333377,0.386929634,10.38118812,4.176133627,2.042918455,0.771036103,0.288135593,7.220656525
2,-1.260676426,3.9549089,-3.23165636,10.38118812,4.151207597,1.150214592,0.373014607,-0.151315789,4.537229784
2,-1.530893488,2.857517368,-1.430720374,10.67357673,4.151207597,3.141630901,1.437315966,-0.139534884,9.664371497
2,-1.241595154,3.491851269,3.107136888,8.487623762,4.978101562,2.935622318,1.040512902,0,1.69959968
2,-0.877082282,1.755843929,0.324252047,5.200340347,5.467470584,4.446351931,-1.795593333,0.162162162,2.419695757
2,-0.516405856,2.317997116,-9.257061675,4.967821782,4.531720911,4.17167382,-2.306726041,0.093023256,4.27253803
2,0.071781928,-0.348407393,-13.38124687,3.894337871,4.600719053,4.652360515,-1.773661537,0.106382979,-0.835868695
2,1.006955108,3.113522352,-4.486399247,4.846410403,11.85834156,4.045888782,-1.418587936,0.02,11.51300331
2,1.659741667,5.435242926,-5.023032178,2.906107873,11.85834156,5.13320262,-0.660695527,0,16.59325342
2,2.317405835,6.518361464,1.152953835,2.766431964,12.03520895,5.597096492,0.167965942,-0.061158218,22.93400773
2,1.731550899,4.714364901,4.403348912,2.766431964,14.29746627,-2.494347336,-0.899983414,0,25.12525389
2,0.211227531,3.463290929,11.37251606,2.766431964,15.97976308,-5.953860915,1.200751921,-0.369715603,19.79170815
2,-1.481437991,2.457498406,14.06038802,2.766431964,18.79318855,-3.450836427,2.133797755,0.047256098,1.364450994
2,-2.13124379,1.630193176,9.696714973,2.766431964,18.12685094,0.768261649,-1.21136728,0.787190684,-15.63503126
2,-1.412880499,2.06726532,6.65579503,2.766431964,15.91806515,2.250385883,-5.333665063,0.54618016,-5.506790394
2,-1.297308283,-0.277181896,-1.047711913,2.766431964,13.57354393,4.516123649,-2.456460441,0.16403287,2.672746824
2,-1.150980038,0.714198609,-10.61060489,2.766431964,14.70467259,3.09440574,-3.743130425,0.327269436,-5.86881198
2,-0.833122572,1.483301461,-17.33028479,2.766431964,14.00131622,6.373034083,-2.921103555,0.550767133,-10.86662153
2,-0.343735887,0.795681938,-17.85750311,2.766431964,13.83267522,5.656501606,-0.883175762,0.252528362,-5.828189096
2,0.37381447,1.577256728,-15.29437477,2.766431964,0,4.159692962,-2.442085476,0.427839214,-10.3301605
